domain,goal,tool,url
COMPUTE ENGINES,Analytics Engines,Amazon Athena,https://aws.amazon.com/athena/
COMPUTE ENGINES,Analytics Engines,Amazon Redshift,https://aws.amazon.com/redshift/
COMPUTE ENGINES,Analytics Engines,Apache Arrow DataFusion,https://github.com/apache/arrow-datafusion
COMPUTE ENGINES,Analytics Engines,Apache Doris,https://doris.apache.org/
COMPUTE ENGINES,Analytics Engines,Apache Druid,https://druid.apache.org/
COMPUTE ENGINES,Analytics Engines,Apache Impala,https://impala.apache.org/overview.html
COMPUTE ENGINES,Analytics Engines,Apache Kylin,http://kylin.apache.org/
COMPUTE ENGINES,Analytics Engines,Apache Pinot,https://pinot.apache.org/
COMPUTE ENGINES,Analytics Engines,ClickHouse,https://clickhouse.tech/
COMPUTE ENGINES,Analytics Engines,Data Lakehouse,https://databricks.com/product/data-lakehouse
COMPUTE ENGINES,Analytics Engines,Dremio,https://www.dremio.com/
COMPUTE ENGINES,Analytics Engines,Firebolt,https://www.firebolt.io/
COMPUTE ENGINES,Analytics Engines,Google BigQuery,https://cloud.google.com/bigquery
COMPUTE ENGINES,Analytics Engines,Hazelcast,https://hazelcast.com/
COMPUTE ENGINES,Analytics Engines,Hydra,https://hydra.so/
COMPUTE ENGINES,Analytics Engines,Imply,https://imply.io/
COMPUTE ENGINES,Analytics Engines,Kx,https://kx.com/
COMPUTE ENGINES,Analytics Engines,LakeSoul,https://lakesoul-io.github.io/
COMPUTE ENGINES,Analytics Engines,Materialize,https://materialize.com/
COMPUTE ENGINES,Analytics Engines,Pentaho,https://pentaho.com/
COMPUTE ENGINES,Analytics Engines,Polars,https://www.pola.rs/
COMPUTE ENGINES,Analytics Engines,Prestodb,https://prestodb.io/
COMPUTE ENGINES,Analytics Engines,Qubole,https://www.qubole.com/
COMPUTE ENGINES,Analytics Engines,QuestDB,https://questdb.io/
COMPUTE ENGINES,Analytics Engines,Redis,https://redis.io/
COMPUTE ENGINES,Analytics Engines,Rockset,https://www.linkedin.com/company/rocksetcloud/
COMPUTE ENGINES,Analytics Engines,SingleStore,https://www.singlestore.com/
COMPUTE ENGINES,Analytics Engines,Snowflake,https://www.snowflake.com/
COMPUTE ENGINES,Analytics Engines,StarRocks,https://www.starrocks.io/
COMPUTE ENGINES,Analytics Engines,StarTree,https://www.startree.ai/
COMPUTE ENGINES,Analytics Engines,Starburst,https://www.starburst.io/
COMPUTE ENGINES,Analytics Engines,Trino,https://trino.io/
COMPUTE ENGINES,Analytics Engines,Voltron Data,https://voltrondata.com/
COMPUTE ENGINES,Analytics Engines,Yellowbrick,https://yellowbrick.com/
COMPUTE ENGINES,Analytics Engines,dbt,https://www.getdbt.com/
COMPUTE ENGINES,Distributed Compute,Akka,https://akka.io/
COMPUTE ENGINES,Distributed Compute,Amazon EMR,https://aws.amazon.com/emr/
COMPUTE ENGINES,Distributed Compute,Apache Spark,https://spark.apache.org/
COMPUTE ENGINES,Distributed Compute,Ascend.io,https://www.ascend.io/
COMPUTE ENGINES,Distributed Compute,Azure HDInsight,https://azure.microsoft.com/en-us/services/hdinsight/
COMPUTE ENGINES,Distributed Compute,Bodo,http://www.bodo.ai
COMPUTE ENGINES,Distributed Compute,Cloudera,https://www.cloudera.com/
COMPUTE ENGINES,Distributed Compute,Dask,https://github.com/dask/dask
COMPUTE ENGINES,Distributed Compute,Databricks,https://www.databricks.com/
COMPUTE ENGINES,Distributed Compute,Google Cloud Dataproc,https://cloud.google.com/dataproc
COMPUTE ENGINES,Distributed Compute,Google Cloud Pub/Sub,https://cloud.google.com/pubsub
COMPUTE ENGINES,Distributed Compute,Google Dataflow,https://cloud.google.com/dataflow
COMPUTE ENGINES,Distributed Compute,MapReduce,https://hadoop.apache.org/docs/r1.2.1/mapred_tutorial.html
COMPUTE ENGINES,Distributed Compute,Microsoft,https://azure.microsoft.com/en-us/services/databricks/
COMPUTE ENGINES,Distributed Compute,Ray,https://www.ray.io/
COMPUTE ENGINES,Distributed Compute,Trino,https://trino.io/
DATA LAKE,Object Storage,Alibaba Cloud OSS,https://www.alibabacloud.com/product/oss
DATA LAKE,Object Storage,Amazon S3,https://aws.amazon.com/s3/
DATA LAKE,Object Storage,Apache HDFS,https://hadoop.apache.org/docs/r1.2.1/hdfs_design.html
DATA LAKE,Object Storage,Azure Blob Storage,https://azure.microsoft.com/products/storage/blobs/
DATA LAKE,Object Storage,Backblaze,https://www.backblaze.com/cloud-storage
DATA LAKE,Object Storage,Ceph,https://ceph.io/ceph-storage/object-storage/
DATA LAKE,Object Storage,Cloudfiles,https://www.cloudfiles.io/
DATA LAKE,Object Storage,Cloudflare R2,https://www.cloudflare.com/developer-platform/r2/
DATA LAKE,Object Storage,DigitalOcean Spaces,https://www.digitalocean.com/products/spaces/
DATA LAKE,Object Storage,G C,https://cloud.google.com/pubsub
DATA LAKE,Object Storage,Google Cloud Storage,https://cloud.google.com/storage
DATA LAKE,Object Storage,IBM Cloud Object Storage,https://www.ibm.com/cloud/storage
DATA LAKE,Object Storage,Idrive,https://www.idrive.com/
DATA LAKE,Object Storage,MinIO,https://min.io/
DATA LAKE,Object Storage,NetApp StorageGRID,https://www.netapp.com/data-storage/storagegrid/
DATA LAKE,Object Storage,Oracle Cloud Storage,https://www.oracle.com/cloud/storage/
DATA LAKE,Object Storage,Pure Storage,https://www.purestorage.com/
DATA LAKE,Object Storage,Storj,https://www.storj.io/
DATA LAKE,Object Storage,VAST Data,https://vastdata.com/
DATA LAKE,Object Storage,Wasabi,https://wasabi.com/
DATA LAKE,Object Storage,Zadara,https://www.zadara.com/
DATA VERSION CONTROL,,DVC,https://dvc.org/
DATA VERSION CONTROL,,Git-lfs,https://git-lfs.com/
DATA VERSION CONTROL,,Oxen,https://www.oxen.ai/
DATA VERSION CONTROL,,Pachyderm,https://www.pachyderm.com/
DATA VERSION CONTROL,,Projectnessie,https://projectnessie.org/
DATA VERSION CONTROL,,Quilt,https://www.quilt.bio/
DATA VERSION CONTROL,,Underhive,https://underhive.ai/
DATA VERSION CONTROL,,lakeFS,https://lakefs.io/
GOVERNANCE,Data Catalog / Governance,Acryldata,https://www.acryldata.io/
GOVERNANCE,Data Catalog / Governance,Alation,https://www.alation.com/
GOVERNANCE,Data Catalog / Governance,Amazon SageMaker,https://aws.amazon.com/sagemaker/
GOVERNANCE,Data Catalog / Governance,Amundsen,https://www.amundsen.io/
GOVERNANCE,Data Catalog / Governance,Apache,https://atlas.apache.org/#/
GOVERNANCE,Data Catalog / Governance,Arize,https://arize.com/
GOVERNANCE,Data Catalog / Governance,Atlan,https://atlan.com/
GOVERNANCE,Data Catalog / Governance,Bigid,https://bigid.com/
GOVERNANCE,Data Catalog / Governance,Boomi,https://boomi.com/platform/master-data-hub/#/706e6e/home
GOVERNANCE,Data Catalog / Governance,Ckan,https://ckan.org/
GOVERNANCE,Data Catalog / Governance,Clear,https://clear.ml/
GOVERNANCE,Data Catalog / Governance,Collibra,https://www.collibra.com/us/en
GOVERNANCE,Data Catalog / Governance,Data,https://data.world/
GOVERNANCE,Data Catalog / Governance,Datalad,https://www.datalad.org/
