level,domain,goal,tool,url
DOMAIN,INGEST,,,
GOAL,INGEST,Ingest Tech,,
TOOL,INGEST,Ingest Tech,Airbyte,https://airbyte.com/
TOOL,INGEST,Ingest Tech,Amazon Kinesis,https://aws.amazon.com/kinesis/
TOOL,INGEST,Ingest Tech,Apache,https://flume.apache.org/
TOOL,INGEST,Ingest Tech,Apache Beam,https://beam.apache.org/
TOOL,INGEST,Ingest Tech,Apache Flink,https://flink.apache.org/
TOOL,INGEST,Ingest Tech,Apache Kafka,https://kafka.apache.org/
TOOL,INGEST,Ingest Tech,Apache NiFi,https://nifi.apache.org/
TOOL,INGEST,Ingest Tech,Apache Pulsar,https://pulsar.apache.org
TOOL,INGEST,Ingest Tech,Apache Spark,https://spark.apache.org/streaming/
TOOL,INGEST,Ingest Tech,Apache Storm,https://storm.apache.org/
TOOL,INGEST,Ingest Tech,Confluent,https://www.confluent.io/
TOOL,INGEST,Ingest Tech,Decodable,https://www.decodable.co/
TOOL,INGEST,Ingest Tech,G,https://cloud.google.com/pubsub
TOOL,INGEST,Ingest Tech,Github,https://github.com/meltano
TOOL,INGEST,Ingest Tech,Google Cloud Pub/Sub,https://cloud.google.com/pubsub
TOOL,INGEST,Ingest Tech,Informatica,https://www.informatica.com/
TOOL,INGEST,Ingest Tech,Kaskada,https://kaskada.com/
TOOL,INGEST,Ingest Tech,Materialize,https://materialize.com/docs/ingest-data/
TOOL,INGEST,Ingest Tech,Memphis,https://docs.memphis.dev/memphis
TOOL,INGEST,Ingest Tech,Microsoft,https://azure.microsoft.com/en-us/products/data-factory/
TOOL,INGEST,Ingest Tech,Redpanda,https://redpanda.com/
TOOL,INGEST,Ingest Tech,StreamNative,https://streamnative.io/
TOOL,INGEST,Ingest Tech,Striim,https://www.striim.com/
TOOL,INGEST,Ingest Tech,Upsolver,https://www.upsolver.com/
TOOL,INGEST,Ingest Tech,WarpStream,https://www.warpstream.com/
GOAL,INGEST,Ingest SaaS,,
TOOL,INGEST,Ingest SaaS,Airbyte,https://airbyte.com/
TOOL,INGEST,Ingest SaaS,Dataddo,https://www.dataddo.com/
TOOL,INGEST,Ingest SaaS,Estuary,https://estuary.dev/
TOOL,INGEST,Ingest SaaS,Fivetran,https://fivetran.com/
TOOL,INGEST,Ingest SaaS,Hevo Data,https://hevodata.com/
TOOL,INGEST,Ingest SaaS,Integrate.io,https://www.integrate.io/
TOOL,INGEST,Ingest SaaS,Keboola,https://www.keboola.com/
TOOL,INGEST,Ingest SaaS,Matillion,https://www.matillion.com/
